Phrase ,Section,Clause ,Page 
loose seat ,1.1(a),"Seating components are not fitted, not secure, are structurally damaged, or have sharp/jagged edges or protrusions.",13
perished seat cushion ,1.1(c),"Seating components are cracked, broken, distorted, missing, or corroded to the point where the seat is weakened and/or failure is likely to occur.",13
missing seats ,1.1(e),Any change to seating capacity is not certified by an Approved Person with the fitment of the prescribed modification plate with the LK1 modification code.,13
aftermarket seat belts ,1.2(a),"The original vehicle manufacturer’s seatbelts are missing, or the replacement belts do not meet the vehicle manufacturer’s specifications.",13
seat belt frayed,1.2(d),"Seatbelt webbing is not correctly and firmly secured at each end or is damaged, frayed, split, torn, altered, or modified. Note 1: Information Sheet No. 2 of Part 3 Information Sheets for Approved Examiners contains details of the ADR seatbelt requirements. Note 2: Discoloration alone of the seatbelt webbing is not a cause of rejection.",13
seat belt not working ,1.2(f),"Seatbelt attachments are not operational. Note 4: Seatbelt attachments include buckles, tongues, adjustment devices, and emergency locking retractors.",14
headlight inopertive ,2.1(a),"Lighting components fitted to a vehicle are not operational, are damaged, or not located in positions as required by prescribed standards. Note 1: For vehicles which are fitted with Light Emitting Diode (LED) lamp assemblies and of which some individual LEDs are not operating on a particular unit, it will be permissible to accept individual LED lamp assemblies if up to and including 20% of the LEDs in an individual assembly are not operating. That is, if an LED lamp assembly has: • 9 individual LEDs, it will be acceptable to have 1 LED not working. • 10 individual LEDs, it will be acceptable to have 2 LEDs not working. • 22 individual LEDs, it will be acceptable to have 4 LEDs not working.",15
tail light inoperative ,2.1(a),"Lighting components fitted to a vehicle are not operational, are damaged, or not located in positions as required by prescribed standards. Note 1: For vehicles which are fitted with Light Emitting Diode (LED) lamp assemblies and of which some individual LEDs are not operating on a particular unit, it will be permissible to accept individual LED lamp assemblies if up to and including 20% of the LEDs in an individual assembly are not operating. That is, if an LED lamp assembly has: • 9 individual LEDs, it will be acceptable to have 1 LED not working. • 10 individual LEDs, it will be acceptable to have 2 LEDs not working. • 22 individual LEDs, it will be acceptable to have 4 LEDs not working.",15
headlight not working ,2.1(a),"Lighting components fitted to a vehicle are not operational, are damaged, or not located in positions as required by prescribed standards. Note 1: For vehicles which are fitted with Light Emitting Diode (LED) lamp assemblies and of which some individual LEDs are not operating on a particular unit, it will be permissible to accept individual LED lamp assemblies if up to and including 20% of the LEDs in an individual assembly are not operating. That is, if an LED lamp assembly has: • 9 individual LEDs, it will be acceptable to have 1 LED not working. • 10 individual LEDs, it will be acceptable to have 2 LEDs not working. • 22 individual LEDs, it will be acceptable to have 4 LEDs not working.",15
headlight blown ,2.1(a),"Lighting components fitted to a vehicle are not operational, are damaged, or not located in positions as required by prescribed standards. Note 1: For vehicles which are fitted with Light Emitting Diode (LED) lamp assemblies and of which some individual LEDs are not operating on a particular unit, it will be permissible to accept individual LED lamp assemblies if up to and including 20% of the LEDs in an individual assembly are not operating. That is, if an LED lamp assembly has: • 9 individual LEDs, it will be acceptable to have 1 LED not working. • 10 individual LEDs, it will be acceptable to have 2 LEDs not working. • 22 individual LEDs, it will be acceptable to have 4 LEDs not working.",15
